water_year,335:CO:SNTL,342:WY:SNTL,353:WY:SNTL,368:UT:SNTL,371:UT:SNTL,378:CO:SNTL,386:CO:SNTL,415:CO:SNTL,432:UT:SNTL,435:UT:SNTL,444:UT:SNTL,449:WY:SNTL,457:CO:SNTL,467:CO:SNTL,468:WY:SNTL,481:UT:SNTL,485:CO:SNTL,505:CO:SNTL,531:CO:SNTL,538:CO:SNTL,542:CO:SNTL,543:UT:SNTL,544:WY:SNTL,554:WY:SNTL,556:CO:SNTL,559:UT:SNTL,565:CO:SNTL,566:UT:SNTL,586:CO:SNTL,589:CO:SNTL,597:WY:SNTL,607:CO:SNTL,618:CO:SNTL,629:CO:SNTL,643:UT:SNTL,680:CO:SNTL,682:CO:SNTL,688:CO:SNTL,701:CO:SNTL,713:CO:SNTL,714:UT:SNTL,720:UT:SNTL,762:CO:SNTL,765:WY:SNTL,779:WY:SNTL,790:UT:SNTL,795:UT:SNTL,802:CO:SNTL,825:CO:SNTL,833:UT:SNTL,840:CO:SNTL,842:CO:SNTL,864:UT:SNTL,869:CO:SNTL
1991,604.52,411.47999999999996,581.66,414.02,368.29999999999995,576.5799999999999,396.23999999999995,320.03999999999996,170.18,314.96,261.62,487.67999999999995,563.88,457.2,340.36,419.09999999999997,538.4799999999999,330.2,327.65999999999997,350.52,441.9599999999999,215.89999999999998,622.3,322.58,284.47999999999996,236.22,530.8599999999999,325.12,469.9,508.0,360.67999999999995,312.42,416.55999999999995,363.21999999999997,462.28,269.23999999999995,731.52,241.29999999999998,320.03999999999996,652.78,462.28,208.27999999999997,378.46,281.94,589.28,434.34000000000003,403.86,322.58,1320.8,302.26,828.04,695.9599999999999,254.0,416.55999999999995
1992,591.8199999999999,205.73999999999998,396.23999999999995,304.79999999999995,388.62,508.0,276.86,347.97999999999996,167.64,200.66,287.02,452.12,398.78,345.44,254.0,271.78,439.42,330.2,383.53999999999996,426.71999999999997,360.67999999999995,236.22,497.84000000000003,281.94,274.32,276.86,612.14,200.66,441.9599999999999,472.44,226.06,287.02,406.4,375.92,215.89999999999998,213.35999999999999,619.7599999999999,251.46,383.53999999999996,673.0999999999999,261.62,137.16,287.02,208.27999999999997,401.32,386.08,246.37999999999997,236.22,1122.68,208.27999999999997,858.5199999999999,586.74,251.46,292.09999999999997
1993,782.3199999999999,434.34000000000003,754.38,629.92,693.42,706.12,642.62,500.37999999999994,416.55999999999995,505.4599999999999,614.68,665.4799999999999,762.0,596.9,439.42,627.38,614.68,617.22,497.84000000000003,452.12,629.92,436.87999999999994,886.4599999999999,508.0,464.82,396.23999999999995,914.4,558.8,675.64,673.0999999999999,449.58,406.4,784.8599999999999,617.22,558.8,436.87999999999994,1257.3,365.76,571.5,927.0999999999999,568.9599999999999,345.44,353.06,426.71999999999997,952.5,599.44,574.04,447.04,1727.1999999999998,363.21999999999997,1211.58,863.5999999999999,543.56,571.5
1994,513.0799999999999,360.67999999999995,515.62,393.7,347.97999999999996,411.47999999999996,327.65999999999997,416.55999999999995,228.6,322.58,203.2,574.04,431.79999999999995,424.17999999999995,281.94,350.52,424.17999999999995,467.35999999999996,439.42,327.65999999999997,472.44,208.27999999999997,538.4799999999999,302.26,393.7,238.76,668.02,279.4,317.5,396.23999999999995,304.79999999999995,297.17999999999995,365.76,347.97999999999996,261.62,264.15999999999997,693.42,259.08,406.4,586.74,363.21999999999997,165.1,325.12,259.08,474.97999999999996,347.97999999999996,276.86,289.56,1216.6599999999999,264.15999999999997,762.0,508.0,248.92000000000002,335.28
1995,586.74,525.78,746.7599999999999,866.14,614.68,657.8599999999999,337.82,546.1,312.42,383.53999999999996,495.29999999999995,807.72,599.44,574.04,457.2,899.16,708.66,609.5999999999999,683.2599999999999,467.35999999999996,703.5799999999999,358.14,825.5,406.4,403.86,373.37999999999994,853.4399999999999,655.3199999999999,574.04,624.84,345.44,307.34,683.2599999999999,642.62,665.4799999999999,449.58,1163.32,223.52,609.5999999999999,934.7199999999999,515.62,200.66,513.0799999999999,294.64,784.8599999999999,688.34,431.79999999999995,388.62,1770.3799999999999,368.29999999999995,1191.26,795.02,340.36,520.6999999999999
1996,774.6999999999999,414.02,1049.02,581.66,662.94,624.84,391.15999999999997,594.3599999999999,340.36,607.06,419.09999999999997,596.9,751.84,586.74,398.78,558.8,688.34,749.3,591.8199999999999,424.17999999999995,561.34,304.79999999999995,916.9399999999999,515.62,434.34000000000003,215.89999999999998,952.5,391.15999999999997,381.0,350.52,614.68,429.25999999999993,396.23999999999995,411.47999999999996,238.76,375.92,675.64,391.15999999999997,548.64,701.04,510.54,287.02,398.78,619.7599999999999,1028.7,581.66,568.9599999999999,464.82,1534.1599999999999,205.73999999999998,513.0799999999999,889.0,464.82,424.17999999999995
1997,797.56,502.92,1132.84,698.5,800.0999999999999,767.0799999999999,543.56,589.28,381.0,711.1999999999999,561.34,749.3,701.04,767.0799999999999,485.14,688.34,652.78,607.06,703.5799999999999,594.3599999999999,599.44,474.97999999999996,1122.68,640.0799999999999,398.78,416.55999999999995,924.56,500.37999999999994,589.28,739.14,695.9599999999999,335.28,650.24,535.94,543.56,396.23999999999995,1036.32,332.73999999999995,601.9799999999999,886.4599999999999,568.9599999999999,452.12,576.5799999999999,607.06,1049.02,533.4,774.6999999999999,401.32,1584.9599999999998,421.64,1165.86,853.4399999999999,607.06,629.92
1998,604.52,365.76,657.8599999999999,609.5999999999999,584.1999999999999,688.34,292.09999999999997,396.23999999999995,213.35999999999999,467.35999999999996,419.09999999999997,548.64,530.8599999999999,477.52,363.21999999999997,586.74,426.71999999999997,477.52,436.87999999999994,363.21999999999997,447.04,368.29999999999995,662.94,414.02,337.82,388.62,617.22,508.0,388.62,467.35999999999996,457.2,309.87999999999994,647.6999999999999,396.23999999999995,485.14,259.08,919.48,251.46,480.05999999999995,642.62,411.47999999999996,264.15999999999997,408.94,345.44,599.44,568.9599999999999,525.78,289.56,1371.6,378.46,835.66,525.78,375.92,241.29999999999998
1999,586.74,439.42,853.4399999999999,741.68,424.17999999999995,454.6599999999999,259.08,492.75999999999993,172.72,345.44,271.78,584.1999999999999,464.82,454.6599999999999,408.94,607.06,548.64,495.29999999999995,594.3599999999999,337.82,523.24,193.04,985.5199999999999,457.2,287.02,292.09999999999997,645.16,431.79999999999995,325.12,350.52,495.29999999999995,243.83999999999997,327.65999999999997,353.06,500.37999999999994,254.0,810.2599999999999,220.97999999999996,373.37999999999994,772.16,307.34,198.11999999999998,563.88,523.24,972.8199999999998,596.9,373.37999999999994,276.86,1473.1999999999998,330.2,1003.3,449.58,210.82,406.4
2000,490.21999999999997,314.96,640.0799999999999,396.23999999999995,449.58,416.55999999999995,314.96,444.5,165.1,459.74,284.47999999999996,424.17999999999995,612.14,500.37999999999994,309.87999999999994,439.42,477.52,431.79999999999995,401.32,370.84,373.37999999999994,322.58,581.66,365.76,353.06,292.09999999999997,647.6999999999999,304.79999999999995,431.79999999999995,391.15999999999997,449.58,284.47999999999996,429.25999999999993,414.02,304.79999999999995,231.14,561.34,309.87999999999994,441.9599999999999,584.1999999999999,411.47999999999996,241.29999999999998,353.06,314.96,584.1999999999999,393.7,436.87999999999994,289.56,1193.8,309.87999999999994,459.74,576.5799999999999,289.56,464.82
