year,month,soilm_basin_avg,source_file
1992,1,583.4424438476562,NLDAS_NOAH0125_M.A199201.020.nc
1992,2,575.9707641601562,NLDAS_NOAH0125_M.A199202.020.nc
1992,3,582.5585327148438,NLDAS_NOAH0125_M.A199203.020.nc
1992,4,568.0375366210938,NLDAS_NOAH0125_M.A199204.020.nc
1992,5,546.4458618164062,NLDAS_NOAH0125_M.A199205.020.nc
1992,6,579.233154296875,NLDAS_NOAH0125_M.A199206.020.nc
1992,7,549.924560546875,NLDAS_NOAH0125_M.A199207.020.nc
1992,8,530.0038452148438,NLDAS_NOAH0125_M.A199208.020.nc
1992,9,495.17724609375,NLDAS_NOAH0125_M.A199209.020.nc
1992,10,504.89031982421875,NLDAS_NOAH0125_M.A199210.020.nc
1992,11,560.4833984375,NLDAS_NOAH0125_M.A199211.020.nc
1992,12,619.6589965820312,NLDAS_NOAH0125_M.A199212.020.nc
1993,1,599.8345336914062,NLDAS_NOAH0125_M.A199301.020.nc
1993,2,592.4864501953125,NLDAS_NOAH0125_M.A199302.020.nc
1993,3,638.3597412109375,NLDAS_NOAH0125_M.A199303.020.nc
1993,4,625.10986328125,NLDAS_NOAH0125_M.A199304.020.nc
1993,5,570.0576782226562,NLDAS_NOAH0125_M.A199305.020.nc
1993,6,531.6400756835938,NLDAS_NOAH0125_M.A199306.020.nc
1993,7,506.7030944824219,NLDAS_NOAH0125_M.A199307.020.nc
1993,8,482.5260925292969,NLDAS_NOAH0125_M.A199308.020.nc
1993,9,497.1888427734375,NLDAS_NOAH0125_M.A199309.020.nc
1993,10,570.431640625,NLDAS_NOAH0125_M.A199310.020.nc
1993,11,586.7120971679688,NLDAS_NOAH0125_M.A199311.020.nc
1993,12,625.3703002929688,NLDAS_NOAH0125_M.A199312.020.nc
1994,1,620.6827392578125,NLDAS_NOAH0125_M.A199401.020.nc
1994,2,669.9786376953125,NLDAS_NOAH0125_M.A199402.020.nc
1994,3,688.9829711914062,NLDAS_NOAH0125_M.A199403.020.nc
1994,4,623.525146484375,NLDAS_NOAH0125_M.A199404.020.nc
1994,5,584.9615478515625,NLDAS_NOAH0125_M.A199405.020.nc
1994,6,551.41650390625,NLDAS_NOAH0125_M.A199406.020.nc
1994,7,538.9329833984375,NLDAS_NOAH0125_M.A199407.020.nc
1994,8,570.0026245117188,NLDAS_NOAH0125_M.A199408.020.nc
1994,9,540.442626953125,NLDAS_NOAH0125_M.A199409.020.nc
1994,10,516.3355712890625,NLDAS_NOAH0125_M.A199410.020.nc
1994,11,522.4578857421875,NLDAS_NOAH0125_M.A199411.020.nc
1994,12,590.3827514648438,NLDAS_NOAH0125_M.A199412.020.nc
1995,1,600.0763549804688,NLDAS_NOAH0125_M.A199501.020.nc
1995,2,588.3302001953125,NLDAS_NOAH0125_M.A199502.020.nc
1995,3,596.2172241210938,NLDAS_NOAH0125_M.A199503.020.nc
1995,4,558.9826049804688,NLDAS_NOAH0125_M.A199504.020.nc
1995,5,539.5623168945312,NLDAS_NOAH0125_M.A199505.020.nc
1995,6,513.7332763671875,NLDAS_NOAH0125_M.A199506.020.nc
1995,7,485.61480712890625,NLDAS_NOAH0125_M.A199507.020.nc
1995,8,447.5347900390625,NLDAS_NOAH0125_M.A199508.020.nc
