water_year,335:CO:SNTL,342:WY:SNTL,353:WY:SNTL,368:UT:SNTL,371:UT:SNTL,378:CO:SNTL,386:CO:SNTL,415:CO:SNTL,432:UT:SNTL,435:UT:SNTL,444:UT:SNTL,449:WY:SNTL,457:CO:SNTL,467:CO:SNTL,468:WY:SNTL,481:UT:SNTL,485:CO:SNTL,505:CO:SNTL,531:CO:SNTL,538:CO:SNTL,542:CO:SNTL,543:UT:SNTL,544:WY:SNTL,554:WY:SNTL,556:CO:SNTL,559:UT:SNTL,565:CO:SNTL,566:UT:SNTL,586:CO:SNTL,589:CO:SNTL,597:WY:SNTL,607:CO:SNTL,618:CO:SNTL,629:CO:SNTL,643:UT:SNTL,680:CO:SNTL,682:CO:SNTL,688:CO:SNTL,701:CO:SNTL,713:CO:SNTL,714:UT:SNTL,720:UT:SNTL,762:CO:SNTL,765:WY:SNTL,779:WY:SNTL,790:UT:SNTL,795:UT:SNTL,802:CO:SNTL,825:CO:SNTL,833:UT:SNTL,840:CO:SNTL,842:CO:SNTL,864:UT:SNTL,869:CO:SNTL
2002,276.86,307.34,533.4,271.78,337.82,284.47999999999996,5.08,304.79999999999995,86.36,264.15999999999997,215.89999999999998,358.14,431.79999999999995,383.53999999999996,254.0,251.46,289.56,243.83999999999997,238.76,154.93999999999997,287.02,121.91999999999999,538.4799999999999,322.58,193.04,170.18,429.25999999999993,193.04,149.86,187.96,368.29999999999995,195.57999999999998,284.47999999999996,193.04,195.57999999999998,152.39999999999998,393.7,175.26,190.5,370.84,289.56,119.38,195.57999999999998,248.92000000000002,518.16,289.56,327.65999999999997,198.11999999999998,721.3599999999999,175.26,254.0,370.84,170.18,208.27999999999997
2003,520.6999999999999,304.79999999999995,584.1999999999999,330.2,353.06,358.14,185.42,419.09999999999997,76.19999999999999,269.23999999999995,281.94,551.18,533.4,454.6599999999999,345.44,299.72,421.64,510.54,365.76,289.56,411.47999999999996,259.08,609.5999999999999,350.52,287.02,294.64,706.12,243.83999999999997,322.58,373.37999999999994,439.42,274.32,396.23999999999995,294.64,259.08,243.83999999999997,576.5799999999999,304.79999999999995,434.34000000000003,444.5,335.28,175.26,284.47999999999996,347.97999999999996,657.8599999999999,325.12,261.62,368.29999999999995,1092.2,220.97999999999996,657.8599999999999,523.24,226.06,398.78
2004,314.96,304.79999999999995,510.54,424.17999999999995,287.02,259.08,78.74,259.08,83.82,248.92000000000002,231.14,421.64,378.46,299.72,276.86,396.23999999999995,314.96,284.47999999999996,243.83999999999997,279.4,327.65999999999997,142.23999999999998,541.02,322.58,172.72,144.78,396.23999999999995,269.23999999999995,322.58,259.08,327.65999999999997,172.72,271.78,358.14,274.32,208.27999999999997,584.1999999999999,27.94,274.32,535.94,259.08,91.44,281.94,284.47999999999996,538.4799999999999,299.72,266.7,261.62,848.3599999999999,187.96,779.78,363.21999999999997,124.46000000000001,256.53999999999996
2005,416.55999999999995,391.15999999999997,485.14,861.06,505.4599999999999,381.0,429.25999999999993,309.87999999999994,327.65999999999997,581.66,502.92,502.92,535.94,553.72,312.42,703.5799999999999,347.97999999999996,309.87999999999994,355.59999999999997,426.71999999999997,388.62,551.18,718.8199999999999,444.5,274.32,510.54,505.4599999999999,581.66,474.97999999999996,505.4599999999999,383.53999999999996,269.23999999999995,650.24,515.62,652.78,264.15999999999997,1191.26,208.27999999999997,449.58,713.74,444.5,436.87999999999994,421.64,350.52,614.68,393.7,563.88,264.15999999999997,965.1999999999999,525.78,1351.28,449.58,449.58,302.26
2006,530.8599999999999,391.15999999999997,723.9,586.74,607.06,457.2,231.14,444.5,365.76,627.38,485.14,492.75999999999993,624.84,530.8599999999999,363.21999999999997,571.5,533.4,541.02,485.14,373.37999999999994,403.86,325.12,810.2599999999999,520.6999999999999,391.15999999999997,248.92000000000002,629.92,335.28,330.2,330.2,505.4599999999999,360.67999999999995,502.92,342.9,345.44,276.86,599.44,274.32,383.53999999999996,568.9599999999999,586.74,309.87999999999994,340.36,474.97999999999996,797.56,406.4,601.9799999999999,355.59999999999997,1303.0199999999998,259.08,444.5,688.34,330.2,307.34
2007,414.02,276.86,518.16,353.06,203.2,279.4,7.619999999999999,325.12,0.0,132.07999999999998,101.6,457.2,373.37999999999994,360.67999999999995,241.29999999999998,304.79999999999995,396.23999999999995,452.12,391.15999999999997,236.22,391.15999999999997,127.0,477.52,330.2,276.86,76.19999999999999,568.9599999999999,220.97999999999996,266.7,335.28,238.76,271.78,365.76,302.26,213.35999999999999,187.96,419.09999999999997,170.18,337.82,482.59999999999997,137.16,43.18,327.65999999999997,254.0,482.59999999999997,312.42,218.43999999999997,259.08,762.0,182.88,472.44,403.86,119.38,365.76
2008,533.4,347.97999999999996,668.02,495.29999999999995,467.35999999999996,421.64,449.58,459.74,345.44,551.18,416.55999999999995,591.8199999999999,650.24,685.8,284.47999999999996,487.67999999999995,513.0799999999999,520.6999999999999,477.52,406.4,596.9,408.94,670.56,396.23999999999995,495.29999999999995,330.2,619.7599999999999,320.03999999999996,561.34,525.78,429.25999999999993,378.46,680.72,510.54,332.73999999999995,419.09999999999997,812.8,248.92000000000002,571.5,774.6999999999999,477.52,279.4,439.42,358.14,617.22,401.32,482.59999999999997,365.76,1099.82,320.03999999999996,1173.48,650.24,396.23999999999995,406.4
2009,487.67999999999995,312.42,675.64,391.15999999999997,416.55999999999995,403.86,182.88,393.7,160.01999999999998,396.23999999999995,279.4,609.5999999999999,614.68,563.88,322.58,383.53999999999996,492.75999999999993,469.9,375.92,353.06,500.37999999999994,231.14,624.84,414.02,307.34,210.82,642.62,271.78,452.12,431.79999999999995,414.02,345.44,538.4799999999999,373.37999999999994,241.29999999999998,304.79999999999995,617.22,251.46,391.15999999999997,589.28,345.44,157.48,304.79999999999995,365.76,690.88,312.42,358.14,358.14,1140.4599999999998,200.66,665.4799999999999,591.8199999999999,241.29999999999998,314.96
2010,447.04,200.66,368.29999999999995,292.09999999999997,342.9,353.06,388.62,284.47999999999996,180.33999999999997,248.92000000000002,281.94,513.0799999999999,398.78,447.04,193.04,350.52,332.73999999999995,299.72,350.52,388.62,401.32,276.86,436.87999999999994,248.92000000000002,238.76,238.76,444.5,246.37999999999997,411.47999999999996,477.52,187.96,218.43999999999997,447.04,375.92,226.06,246.37999999999997,604.52,172.72,406.4,576.5799999999999,284.47999999999996,182.88,347.97999999999996,223.52,419.09999999999997,312.42,254.0,200.66,833.1199999999999,264.15999999999997,690.88,370.84,213.35999999999999,172.72
2011,640.0799999999999,398.78,855.98,728.9799999999999,566.42,495.29999999999995,203.2,482.59999999999997,373.37999999999994,739.14,497.84000000000003,629.92,789.9399999999999,670.56,363.21999999999997,695.9599999999999,530.8599999999999,657.8599999999999,452.12,368.29999999999995,510.54,391.15999999999997,820.4199999999998,546.1,408.94,340.36,896.6199999999999,406.4,335.28,340.36,548.64,434.34000000000003,563.88,386.08,414.02,350.52,909.3199999999998,449.58,464.82,612.14,502.92,289.56,355.59999999999997,543.56,927.0999999999999,444.5,627.38,368.29999999999995,1450.34,320.03999999999996,797.56,579.12,462.28,497.84000000000003
2012,246.37999999999997,342.9,581.66,370.84,177.79999999999998,175.26,2.54,218.43999999999997,0.0,114.3,124.46000000000001,259.08,220.97999999999996,198.11999999999998,353.06,314.96,271.78,259.08,251.46,215.89999999999998,226.06,66.03999999999999,500.37999999999994,322.58,149.86,60.959999999999994,373.37999999999994,246.37999999999997,180.33999999999997,190.5,320.03999999999996,124.46000000000001,208.27999999999997,231.14,220.97999999999996,198.11999999999998,510.54,5.08,203.2,401.32,162.56,33.019999999999996,297.17999999999995,294.64,579.12,335.28,149.86,76.19999999999999,678.18,93.98,454.6599999999999,139.7,78.74,203.2
2013,391.15999999999997,243.83999999999997,452.12,314.96,304.79999999999995,276.86,167.64,254.0,30.479999999999997,203.2,187.96,358.14,459.74,325.12,231.14,289.56,320.03999999999996,327.65999999999997,276.86,236.22,281.94,162.56,439.42,279.4,208.27999999999997,172.72,414.02,185.42,264.15999999999997,284.47999999999996,266.7,248.92000000000002,327.65999999999997,279.4,256.53999999999996,180.33999999999997,419.09999999999997,182.88,226.06,431.79999999999995,200.66,109.21999999999998,223.52,226.06,508.0,299.72,241.29999999999998,190.5,802.64,182.88,609.5999999999999,297.17999999999995,195.57999999999998,299.72
2014,629.92,403.86,919.48,419.09999999999997,419.09999999999997,401.32,170.18,515.62,177.79999999999998,340.36,281.94,513.0799999999999,693.42,563.88,444.5,340.36,497.84000000000003,617.22,495.29999999999995,320.03999999999996,495.29999999999995,180.33999999999997,835.66,485.14,365.76,165.1,807.72,238.76,393.7,332.73999999999995,632.4599999999999,350.52,459.74,421.64,231.14,337.82,652.78,317.5,485.14,568.9599999999999,347.97999999999996,152.39999999999998,353.06,515.62,894.08,495.29999999999995,363.21999999999997,360.67999999999995,1325.88,162.56,591.8199999999999,558.8,254.0,373.37999999999994
2015,383.53999999999996,251.46,581.66,264.15999999999997,248.92000000000002,233.67999999999998,0.0,355.59999999999997,0.0,38.099999999999994,142.23999999999998,121.91999999999999,281.94,236.22,248.92000000000002,210.82,414.02,398.78,401.32,248.92000000000002,383.53999999999996,38.099999999999994,441.9599999999999,292.09999999999997,205.73999999999998,0.0,505.4599999999999,106.67999999999999,254.0,172.72,337.82,187.96,147.32,266.7,114.3,190.5,375.92,177.79999999999998,302.26,439.42,144.78,7.619999999999999,299.72,271.78,599.44,254.0,124.46000000000001,185.42,734.06,25.4,373.37999999999994,312.42,78.74,246.37999999999997
2016,528.3199999999999,281.94,635.0,398.78,365.76,391.15999999999997,109.21999999999998,375.92,48.26,271.78,264.15999999999997,495.29999999999995,645.16,469.9,231.14,383.53999999999996,401.32,462.28,391.15999999999997,381.0,381.0,243.83999999999997,591.8199999999999,360.67999999999995,332.73999999999995,297.17999999999995,584.1999999999999,241.29999999999998,383.53999999999996,383.53999999999996,368.29999999999995,302.26,332.73999999999995,375.92,215.89999999999998,213.35999999999999,657.8599999999999,274.32,388.62,508.0,297.17999999999995,167.64,363.21999999999997,355.59999999999997,637.54,429.25999999999993,312.42,289.56,977.9,264.15999999999997,678.18,492.75999999999993,264.15999999999997,406.4
2017,424.17999999999995,528.3199999999999,1071.88,734.06,543.56,231.14,251.46,403.86,284.47999999999996,645.16,345.44,393.7,426.71999999999997,327.65999999999997,474.97999999999996,665.4799999999999,436.87999999999994,548.64,408.94,414.02,424.17999999999995,406.4,1016.0,635.0,332.73999999999995,251.46,632.4599999999999,505.4599999999999,535.94,485.14,675.64,119.38,322.58,444.5,543.56,431.79999999999995,756.92,236.22,518.16,675.64,495.29999999999995,269.23999999999995,375.92,477.52,1008.38,477.52,589.28,269.23999999999995,988.06,281.94,967.74,452.12,408.94,431.79999999999995
2018,375.92,332.73999999999995,807.72,335.28,236.22,264.15999999999997,0.0,279.4,0.0,180.33999999999997,132.07999999999998,358.14,454.6599999999999,388.62,307.34,332.73999999999995,383.53999999999996,383.53999999999996,330.2,208.27999999999997,266.7,165.1,538.4799999999999,335.28,220.97999999999996,180.33999999999997,492.75999999999993,210.82,203.2,213.35999999999999,444.5,226.06,218.43999999999997,205.73999999999998,167.64,193.04,304.79999999999995,246.37999999999997,261.62,358.14,233.67999999999998,7.619999999999999,205.73999999999998,317.5,665.4799999999999,340.36,193.04,215.89999999999998,876.3,198.11999999999998,388.62,312.42,167.64,330.2
2019,523.24,335.28,574.04,614.68,561.34,452.12,607.06,480.05999999999995,447.04,629.92,391.15999999999997,535.94,647.6999999999999,500.37999999999994,322.58,591.8199999999999,558.8,566.42,518.16,480.05999999999995,525.78,388.62,558.8,375.92,431.79999999999995,330.2,629.92,431.79999999999995,561.34,581.66,393.7,320.03999999999996,558.8,581.66,396.23999999999995,358.14,906.78,254.0,548.64,838.1999999999999,541.02,320.03999999999996,535.94,289.56,563.88,381.0,607.06,347.97999999999996,1272.54,312.42,1028.7,518.16,439.42,406.4
2020,561.34,243.83999999999997,645.16,492.75999999999993,457.2,350.52,289.56,447.04,243.83999999999997,342.9,238.76,535.94,624.84,523.24,266.7,492.75999999999993,434.34000000000003,447.04,444.5,320.03999999999996,439.42,332.73999999999995,591.8199999999999,401.32,340.36,312.42,655.3199999999999,335.28,424.17999999999995,337.82,373.37999999999994,322.58,406.4,381.0,297.17999999999995,259.08,518.16,330.2,459.74,599.44,375.92,195.57999999999998,373.37999999999994,337.82,665.4799999999999,436.87999999999994,393.7,304.79999999999995,1165.86,307.34,675.64,477.52,332.73999999999995,337.82
