,GW_storage[cm],SM_storage[cm],SFC_storage[cm],SWE_storage[cm],total_storage[cm],total_storage[cm]_noGW,anomaly[cm],SM_anomaly[cm],GW_anomaly[cm],SWE_anomaly[cm],SFC_anomaly[cm],anomaly[cm]_noGW
1981-10-31,2168.6999693155967,56.453930999783815,0.30894212080804234,0.12020449149757956,2225.583046927686,56.88307761208944,-4.8425889365926,0.9733261935960424,-3.635145544516472,-1.725302735559836,-0.45546685011272403,-1.2074433920765153
1981-11-30,2168.738315119075,57.173650367867715,0.4472897776670291,0.2627449345335589,2226.6220001991433,57.883685080068304,-3.8036356651355914,1.6930455616799438,-3.5967997410383217,-1.5827622925238567,-0.3171191932537373,-0.2068359240976479
1981-12-31,2168.7697450290198,57.35785615950925,0.4774096528682809,1.17406578809481,2227.7790766294925,59.009331600472336,-2.6465592347866256,1.8772513533214767,-3.5653698310933923,-0.6714414389626054,-0.2869993180524854,0.9188105963063882
1982-01-31,2168.782421074249,57.411125954163616,0.5439756738221073,4.959311550476402,2231.6968342527116,62.91441317846212,1.2711983884328537,1.9305211479758402,-3.552693785863706,3.1138043234189863,-0.22043329709865905,4.82389217429617
1982-02-28,2168.778887802663,57.82934816862722,0.6435127375148931,6.071136440866131,2233.3228851496715,64.54399734700824,2.8972492853924856,2.3487433624394436,-3.556227057450192,4.225629213808716,-0.1208962334058732,6.453476342842288
1982-03-31,2168.7791926996606,59.435008264722825,1.0591386540582406,5.839445164874739,2235.1127847833163,66.3335920836558,4.687148919037523,3.954403458535059,-3.5559221604527185,3.9939379378173236,0.29472968313747433,8.243071079489859
1982-04-30,2168.801517952974,59.973416199000795,1.3376869645532816,5.556285171052978,2235.6689062875807,66.86738833460706,5.243270423302042,4.492811392813018,-3.5335969071394406,3.7107779439955624,0.5732779936325153,8.776867330441098
1982-05-31,2168.8474070205907,60.48659437881274,2.084593931091648,3.3918252689501873,2234.8104205994455,65.96301357885457,4.384784735166494,5.005989572624961,-3.4877078395225034,1.546318041892772,1.3201849601708815,7.872492574688617
1982-06-30,2168.9251482414847,59.27032586185554,2.137427866615134,1.0792458593370453,2231.4121478292923,62.486999587807716,0.9865119650136042,3.7897210556677634,-3.4099666186285416,-0.7662613677203702,1.373018895694368,4.3964785836417635
1982-07-31,2168.965002253348,56.91152254737662,1.3180079315643125,0.059569705030722765,2227.2541024373195,58.28910018397165,-3.1715334269592415,1.4309177411888494,-3.370112606765333,-1.7859375220266926,0.5535989606435463,0.19857917980570478
1982-08-31,2168.9541096775306,56.056361354542844,0.6267517598183054,8.956097738375913e-05,2225.6373123528697,56.68320267533854,-4.788323511409421,0.5757565483550794,-3.3810051825823844,-1.8454176660800319,-0.13765721110246082,-1.4073183288274111
1982-09-30,2168.954404251317,56.59910948472429,0.5900442838791052,0.01651459281836649,2226.1600726127385,57.205668361421765,-4.265563251540161,1.1185046785365214,-3.380710608796368,-1.828992634239049,-0.17436468704166108,-0.8848526427441866
1982-10-31,2168.992165637743,58.038675206305925,0.6389696159158342,0.08064392041294735,2227.7504543803775,58.75828874263471,-2.675181483901113,2.5580704001181536,-3.3429492223702626,-1.764863306644468,-0.1254393550049321,0.667767738468755
